name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,33.5,357.499947309494,4891.5,1.0,1.0
object_semantics-object_semantics_history-preference,30.666666666666668,168.7276062965393,2401.0,1.0,1.0
object_semantics-object_semantics_history-ownership,24.5,132.82069754600525,1705.5,0.7,0.5
object_semantics-object_semantics_group-preference,38.0,1075.6977026462555,9750.0,0.8,0.0
object_semantics-user_pattern_history-preference,29.0,278.1821074485779,3147.2,1.0,1.0
object_semantics-user_pattern_history-routine,30.0,101.40354776382446,1616.0,0.6666666666666666,0.0
object_semantics-user_pattern_group-preference,27.666666666666668,168.33271884918213,3051.6666666666665,1.0,1.0
object_semantics-user_pattern_preference-preference,22.0,171.253502368927,1950.0,1.0,1.0
object_semantics-user_pattern_preference-routine,30.0,182.82161045074463,3034.0,1.0,1.0
object_semantics-user_pattern_ownership-preference,19.0,153.96333026885986,2242.0,1.0,1.0
user_pattern-user_pattern_preference-preference,23.428571428571427,140.08105179241724,2402.5714285714284,0.7687074829931972,0.5714285714285714
user_pattern-user_pattern_preference-routine,25.333333333333332,340.0587674776713,4172.333333333333,1.0,1.0
user_pattern-user_pattern_routine-routine,28.5,206.6869075298309,3796.5,0.6666666666666666,0.5
object_semantics-object_semantics_total,30.75,320.315226405859,3768.375,0.9,0.75
object_semantics-user_pattern_total,27.416666666666668,208.77922372023264,2811.0833333333335,0.9722222222222223,0.9166666666666666
user_pattern-user_pattern_total,24.75,201.17645666996637,3077.3333333333335,0.8095238095238094,0.6666666666666666
total_results,27.75,228.93934649891324,3141.472222222222,0.879100529100529,0.75
