name,replanning_count_0,runtime,sim_step_count,task_percent_complete,task_state_success
object_semantics-object_semantics_history-history,38.5,511.0552682876587,6836.5,0.6666666666666666,0.5
object_semantics-object_semantics_history-preference,33.666666666666664,235.56356183687845,2367.3333333333335,1.0,1.0
object_semantics-object_semantics_history-ownership,26.0,212.51185989379883,2322.0,1.0,1.0
object_semantics-object_semantics_group-preference,31.0,589.6830487251282,4538.0,1.0,1.0
object_semantics-user_pattern_history-preference,34.8,384.8855396270752,3548.2,1.0,1.0
object_semantics-user_pattern_history-routine,25.0,163.33134698867798,1990.0,1.0,1.0
object_semantics-user_pattern_group-preference,34.666666666666664,261.70252839724225,3674.6666666666665,0.7777777777777778,0.6666666666666666
object_semantics-user_pattern_preference-preference,30.0,292.8962771892548,2856.0,0.6,0.0
object_semantics-user_pattern_preference-routine,29.0,234.10809183120728,3033.0,1.0,1.0
object_semantics-user_pattern_ownership-preference,23.0,219.64846277236936,2159.0,1.0,1.0
user_pattern-user_pattern_preference-preference,29.571428571428573,254.95388991492135,3738.714285714286,0.7782312925170067,0.5714285714285714
user_pattern-user_pattern_preference-routine,27.666666666666668,540.2148032983145,5096.666666666667,1.0,1.0
user_pattern-user_pattern_routine-routine,35.5,265.55664694309235,3888.5,0.75,0.5
object_semantics-object_semantics_total,32.625,342.9384988248348,3744.625,0.9166666666666666,0.875
object_semantics-user_pattern_total,32.083333333333336,301.62662184238434,3233.5833333333335,0.9111111111111111,0.8333333333333334
user_pattern-user_pattern_total,30.083333333333332,328.03624443213147,4103.166666666667,0.8289682539682538,0.6666666666666666
total_results,31.97222222222222,320.4414786762661,3669.9166666666665,0.8578042328042329,0.7222222222222222
